counter,true_positive,false_positive,true_negative,false_negative
1,0,0,1,0
2,0,0,1,0
3,0,1,1,0
4,0,1,1,0
5,0,9,6,0
6,0,9,7,0
7,0,9,7,0
8,0,9,8,0
9,1,8,8,2
10,1,8,8,2
11,1,11,8,2
12,1,12,8,2
13,1,12,8,2
14,1,12,8,2
15,1,12,8,3
16,1,12,8,3
17,1,13,8,3
18,1,14,8,3
19,1,14,8,3
20,2,14,8,3
21,2,14,8,3
22,2,14,8,3
23,2,14,8,3
24,2,15,8,3
25,2,16,8,3
26,2,16,8,3
27,2,16,10,3
28,2,17,10,3
29,2,17,11,3
30,2,17,10,4
31,2,17,12,4
32,2,18,12,4
33,2,18,12,4
34,2,18,12,4
35,3,17,12,4
36,5,15,12,4
37,5,15,13,4
38,5,15,13,4
39,5,15,13,4
40,5,15,13,4
41,5,15,13,4
42,5,15,13,4
43,5,15,13,4
44,5,15,13,4
45,5,15,14,4
46,5,15,14,4
47,5,15,14,4
48,6,14,14,4
49,6,14,14,5
50,6,14,14,5
51,6,14,14,5
52,6,14,14,5
53,6,14,14,5
54,6,14,14,5
55,6,14,14,5
56,6,14,14,5
57,6,14,14,5
58,7,13,13,6
59,7,13,14,6
60,9,11,13,7
61,12,9,13,7
62,12,9,14,7
63,12,9,13,8
64,12,9,12,9
65,12,9,12,9
66,12,9,12,9
67,12,9,13,9
68,12,9,13,9
